PMDB_ID,AF_IID
1,53127
2,23950
3,10919
4,44763
6,30696
7,nomatch
8,nomatch
10,2529
12,6516
15,44047
18,33926
19,26843
20,nomatch
9,15010
11,44474
13,50001
16,30315
21,nomatch
22,30018
23,33209
24,nomatch
25,20902
26,32088
27,47275
28,nomatch
29,nomatch
30,nomatch
31,nomatch
32,nomatch
33,53287
34,27075
35,nomatch
37,30206
38,17242
39,37401
41,31567
42,nomatch
43,49372
45,nomatch
47,33342
48,nomatch
50,2203
51,8019
52,51545
53,6526
54,55481
56,24138
57,16688
58,15320
59,34258
60,47667
62,35041
63,49827
64,9915
65,36277
66,37889
67,5492
68,41262
69,47875
70,nomatch
71,16902
72,nomatch
73,22939
74,38405
75,22661
76,3827
77,14447
78,nomatch
79,nomatch
82,nomatch
85,13963
86,36356
87,23883
88,nomatch
89,nomatch
90,26057
91,nomatch
92,7811
93,23940
94,8148
95,50435
97,nomatch
98,nomatch
99,22832
100,17250
101,2428
102,33565
103,35145
104,6670
105,37751
106,47726
107,nomatch
108,nomatch
109,nomatch
110,47998
111,nomatch
112,39511
113,39513
114,10678
115,10031
116,33645
117,10895
118,53869
120,2553
121,33723
122,37091
123,17536
124,15663
125,nomatch
126,2667
127,29573
129,51023
131,37713
132,nomatch
134,15497
135,nomatch
136,nomatch
137,12148
138,44978
139,12311
140,36454
141,17301
142,nomatch
143,31724
145,18501
146,nomatch
147,14033
148,nomatch
149,nomatch
150,3847
151,nomatch
152,nomatch
153,nomatch
154,nomatch
155,34610
156,45489
157,1785
158,nomatch
159,nomatch
160,38396
161,nomatch
162,22290
163,8274
165,3887
166,nomatch
167,36493
167,51974
168,nomatch
169,4972
170,nomatch
171,47198
172,22253
173,nomatch
174,nomatch
175,nomatch
176,33751
177,nomatch
178,29400
179,47159
180,33153
181,27906
183,39134
184,31785
185,nomatch
186,52017
187,2692
188,41916
189,nomatch
190,24720
191,50433
192,10336
193,nomatch
194,29193
195,7993
196,32665
197,nomatch
198,44593
199,nomatch
200,21251
201,21252
202,21253
203,nomatch
204,20946
205,nomatch
207,22370
209,20857
210,nomatch
211,nomatch
212,nomatch
213,2460
214,nomatch
215,28539
216,nomatch
217,nomatch
219,nomatch
220,31437
221,nomatch
222,34410
224,nomatch
226,nomatch
227,7337
228,nomatch
229,15714
230,2582
231,11572
232,nomatch
233,17983
234,14514
235,846
236,12706
238,44428
239,39408
241,nomatch
243,31064
244,26825
245,nomatch
247,2198
248,7927
250,26051
251,nomatch
252,21654
253,39202
254,31634
255,nomatch
256,6458
257,nomatch
258,51211
259,51828
260,nomatch
261,45522
262,nomatch
263,nomatch
264,nomatch
265,19401
266,43980
267,10499
268,17572
269,29365
270,5485
271,28776
272,9297
273,nomatch
274,44312
275,43864
276,nomatch
277,nomatch
278,nomatch
279,8998
280,nomatch
281,13111
282,nomatch
283,nomatch
284,55282
285,3600
287,33988
289,7576
291,38266
292,nomatch
293,21401
295,17115
296,15642
299,43210
300,3609
301,31277
302,nomatch
304,nomatch
305,30562
306,35092
307,48978
309,51233
310,nomatch
311,nomatch
312,32808
313,44256
314,14358
316,36906
317,nomatch
319,42765
320,nomatch
321,nomatch
322,25204
323,44571
324,3607
325,11811
326,nomatch
327,6766
328,nomatch
329,20301
330,nomatch
331,8658
332,20370
333,19221
334,8200
335,34586
336,nomatch
337,43436
338,nomatch
339,43181
340,8299
341,51532
343,9526
344,nomatch
345,50972
346,nomatch
348,2252
349,nomatch
350,nomatch
351,42755
352,42561
353,48060
354,32522
355,14394
356,21238
357,20345
358,nomatch
359,nomatch
361,45115
362,3775
364,46314
365,4964
366,54559
367,4963
368,40744
369,nomatch
370,7910
371,17503
372,35959
373,2751
374,40493
375,51566
376,nomatch
377,26921
378,2213
379,nomatch
380,nomatch
381,nomatch
382,nomatch
383,51076
384,nomatch
385,40688
386,22294
387,nomatch
388,nomatch
389,nomatch
390,nomatch
391,47923
392,31205
393,6531
395,nomatch
396,nomatch
398,30083
399,42730
401,nomatch
402,nomatch
406,nomatch
408,nomatch
410,21595
411,nomatch
413,27822
414,7296
416,nomatch
417,30471
418,29483
419,34245
420,28408
421,30139
422,nomatch
423,47089
424,33925
425,18696
426,nomatch
427,nomatch
428,21165
429,nomatch
431,31246
432,nomatch
433,nomatch
434,nomatch
435,nomatch
436,nomatch
438,29905
439,374
440,17478
441,48540
443,nomatch
444,13334
445,35200
447,8963
448,26313
449,21133
450,13680
451,6772
452,14490
453,19977
455,54557
456,nomatch
457,nomatch
458,nomatch
459,55958
460,nomatch
461,11541
462,36796
463,34037
464,40247
465,nomatch
471,21699
472,nomatch
473,nomatch
474,nomatch
475,nomatch
476,nomatch
477,11800
478,nomatch
479,nomatch
480,nomatch
481,50106
482,nomatch
483,nomatch
484,nomatch
487,nomatch
488,nomatch
489,nomatch
492,nomatch
493,nomatch
494,nomatch
495,28274
496,43931
498,nomatch
499,nomatch
500,nomatch
501,nomatch
502,50090
503,nomatch
504,nomatch
505,nomatch
506,nomatch
508,nomatch
509,nomatch
510,28022
511,22305
512,nomatch
513,nomatch
514,nomatch
515,14704
516,27533
517,nomatch
518,nomatch
519,nomatch
520,14440
521,40050
522,nomatch
523,29120
524,12084
525,30136
526,nomatch
527,nomatch
528,5829
529,nomatch
530,2313
531,51453
532,nomatch
533,33721
534,nomatch
535,2539
536,16945
537,18752
538,574
542,28709
544,nomatch
545,17748
546,16263
547,9625
548,7345
549,3048
550,15857
551,26221
552,46469
553,47308
555,6900
556,30938
557,nomatch
558,32537
560,33155
561,22667
562,nomatch
563,21500
564,nomatch
565,nomatch
566,21184
567,28579
569,22378
570,43502
571,27125
573,54547
574,32903
576,6448
577,nomatch
578,44760
580,15043
581,14105
582,nomatch
584,7708
585,22834
587,nomatch
588,15801
589,22171
591,nomatch
592,45843
593,41344
594,43930
595,47221
596,3724
597,17174
598,5726
599,31223
600,44532
601,27984
602,nomatch
603,9837
604,nomatch
605,11801
606,22901
607,nomatch
608,nomatch
610,20724
611,44318
612,14832
613,nomatch
614,nomatch
615,2376
616,33030
617,nomatch
618,3707
619,14511
620,2390
621,29210
625,36613
626,33476
627,6062
628,2276
630,nomatch
631,32383
632,53808
633,15905
634,nomatch
635,nomatch
636,nomatch
637,nomatch
642,51412
643,14020
644,18904
645,nomatch
646,10197
647,31438
648,41806
649,nomatch
650,nomatch
651,nomatch
652,nomatch
653,nomatch
654,38497
655,nomatch
656,nomatch
657,46249
658,nomatch
659,nomatch
660,nomatch
