an_entry_id,clctr_name,is_couple
ACE1,Zenko Adachi,0
ACE2,Giovanni Agnelli,0
ACE3,Muhammed al-Tajir,0
ACE4,James and Marilyn Alsdorf,1
ACE5,Arthur G. Altschul,0
ACE6,Thomas Ammann,0
ACE7,Harry W. and Mary Margaret Anderson,1
ACE8,Warren Anderson,0
ACE9,Walter H. Annenberg,0
ACE10,B.L Au,0
ACE11,Emilio Azcarraga,0
ACE12,Richard Brown Baker,0
ACE13,Sid Richardson Bass,0
ACE14,Anne Bass,0
ACE15,Audrey Jones Beck,0
ACE16,Heinz Berggruen,0
ACE17,Barry and Gail Berkus,1
ACE18,Silvio Berlusconi,0
ACE19,Claude Berri,0
ACE20,Ernst Beyeler,0
ACE21,Nellie and Carlos Pedro Blaquier,1
ACE22,Martin Blinder,0
ACE23,Marion and Henry W. Bloch,1
ACE24,George and Mary Bloch,1
ACE25,Eric and Silvie Boissonnas,1
ACE26,Alan Bond,0
ACE27,Janet Green,0
ACE28,Marcel and Gisèle Boulois,1
ACE29,William Bowmore,0
ACE30,Irma and Norman Braman,1
ACE31,Donald Leroy Bren,0
ACE32,Edythe L. and Eli Broad,1
ACE33,Edward Broida,0
ACE34,Lothar-Günther Buchheim,0
ACE35,Miguel Capriles,0
ACE36,Edward Carter,0
ACE37,Gerald Chan,0
ACE38,Alberto Chateaubriand,0
ACE39,Wendell Cherry,0
ACE40,Jay Chiat,0
ACE41,Patricia Phelps de Cisneros and Gustavo A. Cisneros,1
ACE42,Lillian Clark,0
ACE43,Robert Holmes à Court,0
ACE44,Douglas S. Cramer,0
ACE45,Herman Daled,0
ACE46,Werner and Elaine Dannheisser,1
ACE47,Bruce Dayton,0
ACE48,Thomas and Francis Dittmer,1
ACE49,"Edward R. Downe, Jr.",0
ACE50,Denyse and Philippe Durand-Ruel,1
ACE51,Asher Edelman,0
ACE52,Stefan T. Edlis and Gael Neeson,1
ACE53,Gerald Elliott,0
ACE54,Robert Ellsworth,0
ACE55,Georges Embiricos,0
ACE56,James O. Fairfax,0
ACE57,Lord Thomson of Fleet,0
ACE58,Gert Rudolf Flick,0
ACE59,Amalia Lacroze de Fortabat,0
ACE60,Giorgio Franchetti,0
ACE61,"Jo Ann and Julian Ganz, Jr.",1
ACE62,David Geffen,0
ACE63,Jacques Gelman,0
ACE64,Beatrice and Philip Gersh,1
ACE65,J. Paul Getty II,0
ACE66,"Alfred C. Glassell, Jr.",0
ACE67,Carol and Arthur Goldberg,1
ACE68,Isabel Goldsmith,0
ACE69,Giuliano Gori,0
ACE70,John Goulandris,0
ACE71,Graham Gund,0
ACE72,Agnes Gund,0
ACE73,Marie and Hugh Halff,1
ACE74,Robert Halff,0
ACE75,Armand Hammer *deceased as we went to press,0
ACE76,Toshio Hara,0
ACE77,Bette and Neison Harris,1
ACE78,Henry John Heinz III,0
ACE79,Annick and Anton Herbert,1
ACE80,Donald Hess,0
ACE81,William and Anne Hokin,1
ACE82,Margaret and Raymond Horowitz,1
ACE83,Richard E. Jacobs,0
ACE84,Barbara Jakobson,0
ACE85,Dakis Joannou,0
ACE86,Philip Johnson,0
ACE87,Barbara Piasecka Johnson,0
ACE88,Samuel Josefowitz,0
ACE89,Nicole Jullien Mattei,0
ACE90,Shegeki Kameyama,0
ACE91,Takuji Kato,0
ACE92,George and Linda Kaufman,1
ACE93,Ann and Gilbert H. Kinney,1
ACE94,Frederick Koch,0
ACE95,William Koch,0
ACE96,Robert Kogod,0
ACE97,Henry R. Kravis and Carolyne Roehm,1
ACE98,David Lloyd Kreeger,0
ACE99,Sotaro Kubo,0
ACE100,Hideo Kurita,0
ACE101,Henryk de Kwiatkowski,0
ACE102,Yolanda Garza Laguera,0
ACE103,Leonard A. Lauder,0
ACE104,Ronald S. Lauder,0
ACE105,Raymond Learsy,0
ACE106,Gerhard Lenz,0
ACE107,K.S. Lo,0
ACE108,Peter Ludwig,0
ACE109,Linda and Harry Macklowe,1
ACE110,Susan and Lewis Manilow,1
ACE111,Richard Manoogian,0
ACE112,Martin Z. Margulies,0
ACE113,Annie Windfohr Marion,0
ACE114,Donald B. Marron,0
ACE115,Steve Martin,0
ACE116,Erich Marx,0
ACE117,Roger Mazarguil,0
ACE118,Lord Alister McAlpine,0
ACE119,Margaret McDermott,0
ACE120,Paul and Rachel Mellon,1
ACE121,Christophe de Menil,0
ACE122,Dominique de Menil,0
ACE123,Georges de Menil,0
ACE124,Philippa de Menil,0
ACE125,Adelaide de Menil,0
ACE126,François de Menil,0
