an_entry_id,an_person_id,clctr_name,is_couple
ACE4,APE4a,James Alsdorf,1
ACE4,APE4b,Marilyn Alsdorf,1
ACE7,APE7a,Harry W. and Mary Margaret Anderson,1
ACE7,APE7b,Harry W. and Mary Margaret Anderson,1
ACE17,APE17a,Barry and Gail Berkus,1
ACE17,APE17b,Barry and Gail Berkus,1
ACE21,APE21a,Nellie and Carlos Pedro Blaquier,1
ACE21,APE21b,Nellie and Carlos Pedro Blaquier,1
ACE23,APE23a,Marion and Henry W. Bloch,1
ACE23,APE23b,Marion and Henry W. Bloch,1
ACE24,APE24a,George and Mary Bloch,1
ACE24,APE24b,George and Mary Bloch,1
ACE25,APE25a,Eric and Silvie Boissonnas,1
ACE25,APE25b,Eric and Silvie Boissonnas,1
ACE28,APE28a,Marcel and Gisèle Boulois,1
ACE28,APE28b,Marcel and Gisèle Boulois,1
ACE30,APE30a,Irma and Norman Braman,1
ACE30,APE30b,Irma and Norman Braman,1
ACE32,APE32a,Edythe L. and Eli Broad,1
ACE32,APE32b,Edythe L. and Eli Broad,1
ACE41,APE41a,Patricia Phelps de Cisneros and Gustavo A. Cisneros,1
ACE41,APE41b,Patricia Phelps de Cisneros and Gustavo A. Cisneros,1
ACE46,APE46a,Werner and Elaine Dannheisser,1
ACE46,APE46b,Werner and Elaine Dannheisser,1
ACE48,APE48a,Thomas and Francis Dittmer,1
ACE48,APE48b,Thomas and Francis Dittmer,1
ACE50,APE50a,Denyse and Philippe Durand-Ruel,1
ACE50,APE50b,Denyse and Philippe Durand-Ruel,1
ACE52,APE52a,Stefan T. Edlis and Gael Neeson,1
ACE52,APE52b,Stefan T. Edlis and Gael Neeson,1
ACE61,APE61a,"Jo Ann and Julian Ganz, Jr.",1
ACE61,APE61b,"Jo Ann and Julian Ganz, Jr.",1
ACE64,APE64a,Beatrice and Philip Gersh,1
ACE64,APE64b,Beatrice and Philip Gersh,1
ACE67,APE67a,Carol and Arthur Goldberg,1
ACE67,APE67b,Carol and Arthur Goldberg,1
ACE73,APE73a,Marie and Hugh Halff,1
ACE73,APE73b,Marie and Hugh Halff,1
