an_entry_id,an_collector_person_id,clctr_name,is_couple
ACE4,ACPE4a,James Alsdorf,1
ACE4,ACPE4b,Marilyn Alsdorf,1
ACE7,ACPE7a,Harry W. Anderson,1
ACE7,ACPE7b,Mary Margaret Anderson,1
ACE17,ACPE17a,Barry Berkus,1
ACE17,ACPE17b,Gail Berkus,1
ACE21,ACPE21a,Nellie Blaquier,1
ACE21,ACPE21b,Carlos Pedro Blaquier,1
ACE23,ACPE23a,Marion Bloch,1
ACE23,ACPE23b,Henry W. Bloch,1
ACE24,ACPE24a,George Bloch,1
ACE24,ACPE24b,Mary Bloch,1
ACE25,ACPE25a,Eric Boissonnas,1
ACE25,ACPE25b,Silvie Boissonnas,1
ACE28,ACPE28a,Marcel Boulois,1
ACE28,ACPE28b,Gisèle Boulois,1
ACE30,ACPE30a,Irma Braman,1
ACE30,ACPE30b,Norman Braman,1
ACE32,ACPE32a,Edythe L. Broad,1
ACE32,ACPE32b,Eli Broad,1
ACE41,ACPE41a,Patricia Phelps de Cisneros,1
ACE41,ACPE41b,Gustavo A. Cisneros,1
ACE46,ACPE46a,Werner Dannheisser,1
ACE46,ACPE46b,Elaine Dannheisser,1
ACE48,ACPE48a,Thomas Dittmer,1
ACE48,ACPE48b,Francis Dittmer,1
ACE50,ACPE50a,Denyse Durand-Ruel,1
ACE50,ACPE50b,Philippe Durand-Ruel,1
ACE52,ACPE52a,Stefan T. Edlis Neeson,1
ACE52,ACPE52b,Gael Neeson,1
ACE61,ACPE61a,Jo Ann,1
ACE61,ACPE61b,"Julian Ganz, Jr.",1
ACE64,ACPE64a,Beatrice Gersh,1
ACE64,ACPE64b,Philip Gersh,1
ACE67,ACPE67a,Carol Goldberg,1
ACE67,ACPE67b,Arthur Goldberg,1
ACE73,ACPE73a,Marie Halff,1
ACE73,ACPE73b,Hugh Halff,1
ACE77,ACPE77a,Bette Harris,1
ACE77,ACPE77b,Neison Harris,1
ACE79,ACPE79a,Annick Herbert,1
ACE79,ACPE79b,Anton Herbert,1
ACE81,ACPE81a,William Hokin,1
ACE81,ACPE81b,Anne Hokin,1
ACE82,ACPE82a,Margaret Horowitz,1
ACE82,ACPE82b,Raymond Horowitz,1
ACE92,ACPE92a,George Kaufman,1
ACE92,ACPE92b,Linda Kaufman,1
ACE93,ACPE93a,Ann Kinney,1
ACE93,ACPE93b,Gilbert H. Kinney,1
ACE97,ACPE97a,Henry R. Kravis,1
ACE97,ACPE97b,Carolyne Roehm,1
ACE109,ACPE109a,Linda Macklowe,1
ACE109,ACPE109b,Harry Macklowe,1
ACE110,ACPE110a,Susan Manilow,1
ACE110,ACPE110b,Lewis Manilow,1
ACE120,ACPE120a,Paul Mellon,1
ACE120,ACPE120b,Rachel Mellon,1
ACE127,ACPE127a,Jane Meyerhoff,1
ACE127,ACPE127b,Robert Meyerhoff,1
ACE128,ACPE128a,Robert Mnuchin,1
ACE128,ACPE128b,Adrian Mnuchin,1
ACE135,ACPE135a,Eileen Norton,1
ACE135,ACPE135b,Peter Norton,1
ACE140,ACPE140a,Paul Oliver-Hoffmann,1
ACE140,ACPE140b,Camille Oliver-Hoffmann,1
ACE148,ACPE148a,Etsuko Price,1
ACE148,ACPE148b,Joe D. Price,1
ACE158,ACPE158a,Sir Robert Sainsbury,1
ACE158,ACPE158b,Lady Lisa Sainsbury,1
ACE161,ACPE161a,Denise Saul,1
ACE161,ACPE161b,Andrew M. Saul,1
ACE164,ACPE164a,Eugene Schwartz,1
ACE164,ACPE164b,Barbara Schwartz,1
ACE165,ACPE165a,Joel Seydoux,1
ACE165,ACPE165b,Anne Seydoux,1
ACE170,ACPE170a,Nathan Smooke,1
ACE170,ACPE170b,Marion Smooke,1
ACE171,ACPE171a,Victor Smorgon,1
ACE171,ACPE171b,Loti Smorgon,1
ACE174,ACPE174a,Emily Spiegel,1
ACE174,ACPE174b,Jerry Spiegel,1
ACE176,ACPE176a,Saul Steinberg,1
ACE176,ACPE176b,Gayfryd Steinberg,1
ACE186,ACPE186a,Baron Hans Heinrich Thyssen-Bornemisza,1
ACE186,ACPE186b,Baroness Carmen Thyssen-Bornemisza,1
ACE190,ACPE190a,Dorothy Vogel,1
ACE190,ACPE190b,Herbert Vogel,1
ACE198,ACPE198a,Virginia Wright,1
ACE198,ACPE198b,Bagley Wright,1
ACE202,ACPE202a,Bernard Gerald Cantor,1
ACE202,ACPE202b,Iris Cantor,1
ACE203,ACPE203a,Marshall S. Cogan,1
ACE203,ACPE203b,Maureen Cogan,1
ACE204,ACPE204a,Hélène David-Weill,1
ACE204,ACPE204b,Michel Alexandre David-Weill,1
ACE218,ACPE218a,Victoria Newhouse,1
ACE218,ACPE218b,"Samuel I. Newhouse, Jr.",1
ACE222,ACPE222a,Marianne Schwartz,1
ACE222,ACPE222b,Alan Schwartz,1
ACE225,ACPE225a,Stuart Spence,1
ACE225,ACPE225b,Judy Spence,1
ACE233,ACPE233a,Hartmut Ackermeier,1
ACE233,ACPE233b,Silvia Ackermeier,1
ACE238,ACPE238a,Nelson Blitz Jr.,1
ACE238,ACPE238b,Catherine Woodard,1
ACE239,ACPE239a,Janet de Botton,1
ACE239,ACPE239b,Gilbert de Botton,1
ACE240,ACPE240a,Gérard Boulois,1
ACE240,ACPE240b,Anne-Marie Boulois,1
ACE241,ACPE241a,Edward Carter,1
ACE241,ACPE241b,Hannah Carter,1
ACE244,ACPE244a,Marvin Fishman,1
ACE244,ACPE244b,Janet Fishman,1
ACE245,ACPE245a,Marie-Françoise Fuchs,1
ACE245,ACPE245b,Gilles Fuchs,1
ACE247,ACPE247a,Jacques Hachuel,1
ACE247,ACPE247b,Marta Hachuel,1
ACE249,ACPE249a,Jean Christophe Julian,1
ACE249,ACPE249b,Nicole Julian,1
ACE252,ACPE252a,Richard Lane,1
ACE252,ACPE252b,Barbara Lane,1
ACE256,ACPE256a,Jan Mayer,1
ACE256,ACPE256b,Frederick Mayer,1
ACE262,ACPE262a,Betty Rudman,1
ACE262,ACPE262b,Isaac Rudman,1
ACE270,ACPE270a,Thurston Twigg-Smith,1
ACE270,ACPE270b,Laila Twigg-Smith,1
ACE271,ACPE271a,Carl Vogel,1
ACE271,ACPE271b,Carin Vogel,1
ACE273,ACPE273a,John Weber,1
ACE273,ACPE273b,Charlotte Weber,1
ACE274,ACPE274a,Leon Levy White,1
ACE274,ACPE274b,Shelby White,1
ACE277,ACPE277a,Frits Becht,1
ACE277,ACPE277b,Agnes Becht,1
ACE278,ACPE278a,Marchesa Marida Berlingieri,1
ACE278,ACPE278b,Marchese Annibale Berlingieri,1
ACE281,ACPE281a,Miguel Angel Capriles,1
ACE281,ACPE281b,Magaly Capriles,1
ACE286,ACPE286a,Doris Fisher,1
ACE286,ACPE286b,Donald Fisher,1
ACE287,ACPE287a,Franz Josef van der Grinten,1
ACE287,ACPE287b,Hans van der Grinten,1
ACE290,ACPE290a,Rolf Hoffman,1
ACE290,ACPE290b,Erika Hoffman,1
ACE291,ACPE291a,David Mirvish,1
ACE291,ACPE291b,Audrey Mirvish,1
ACE295,ACPE295a,Marie-Thérèse Perrin,1
ACE295,ACPE295b,Alain-Dominique Perrin,1
ACE296,ACPE296a,Jesús de Polanco,1
ACE296,ACPE296b,Mariluz Barreiros,1
ACE297,ACPE297a,Véronique Prat,1
ACE297,ACPE297b,Louis-Antoine Prat,1
ACE298,ACPE298a,David Rockefeller,1
ACE298,ACPE298b,Peggy Rockefeller,1
ACE299,ACPE299a,Mera Rubell,1
ACE299,ACPE299b,Donald Rubell,1
ACE304,ACPE304a,Joey Tanenbaum,1
ACE304,ACPE304b,Toby Tanenbaum,1
ACE305,ACPE305a,Daniel Terra,1
ACE305,ACPE305b,Judith Terra,1
ACE308,ACPE308a,Reba Williams,1
ACE308,ACPE308b,Dave H. Williams,1
ACE309,ACPE309a,George Abrams,1
ACE309,ACPE309b,Maida Abrams,1
ACE311,ACPE311a,Monique Barbier-Mueller,1
ACE311,ACPE311b,Jean Paul Barbier-Mueller,1
ACE313,ACPE313a,Vivian Campbell,1
ACE313,ACPE313b,David Campbell,1
ACE320,ACPE320a,Carrie Lehrman,1
ACE320,ACPE320b,Robert Lehrman,1
ACE321,ACPE321a,Ann Pizzuti,1
ACE321,ACPE321b,Ron Pizzuti,1
ACE322,ACPE322a,John Powers,1
ACE322,ACPE322b,Kimiko Powers,1
ACE323,ACPE323a,Lila  Silverman,1
ACE323,ACPE323b,Gilbert B. Silverman,1
ACE325,ACPE325a,Maria Nieves Noriega de Autrey,1
ACE325,ACPE325b,Sergio Autrey,1
ACE326,ACPE326a,David Barclay,1
ACE326,ACPE326b,Frederick Barclay,1
ACE327,ACPE327a,Clyde Beswick,1
ACE327,ACPE327b,Karin Beswick,1
ACE328,ACPE328a,John Garland Bowes,1
ACE328,ACPE328b,Frances Garland Bowes,1
