an_entry_id,an_collector_person_id,clctr_name,is_couple,an_person_id
ACE4,ACPE4a,James Alsdorf,1,APE1
ACE4,ACPE4b,Marilynn Alsdorf,1,APE2
ACE7,ACPE7a,Harry W. Anderson,1,APE3
ACE7,ACPE7b,Mary Margaret Anderson,1,APE4
ACE17,ACPE17a,Barry Berkus,1,APE5
ACE17,ACPE17b,Gail Berkus,1,APE6
ACE21,ACPE21a,Nellie Blaquier,1,APE7
ACE21,ACPE21b,Carlos Pedro Blaquier,1,APE8
ACE23,ACPE23a,Marion Bloch,1,APE9
ACE23,ACPE23b,Henry W. Bloch,1,APE10
ACE24,ACPE24a,George Bloch,1,APE11
ACE24,ACPE24b,Mary Bloch,1,APE12
ACE25,ACPE25a,Eric Boissonnas,1,APE13
ACE25,ACPE25b,Silvie Boissonnas,1,APE14
ACE28,ACPE28a,Marcel Boulois,1,APE15
ACE28,ACPE28b,Gisèle Boulois,1,APE16
ACE30,ACPE30a,Irma Braman,1,APE17
ACE30,ACPE30b,Norman Braman,1,APE18
ACE32,ACPE32a,Edythe L. Broad,1,APE19
ACE32,ACPE32b,Eli Broad,1,APE20
ACE41,ACPE41a,Patricia Phelps de Cisneros,1,APE21
ACE41,ACPE41b,Gustavo A. Cisneros,1,APE22
ACE46,ACPE46a,Werner Dannheisser,1,APE23
ACE46,ACPE46b,Elaine Dannheisser,1,APE24
ACE48,ACPE48a,Thomas Dittmer,1,APE25
ACE48,ACPE48b,Frances Dittmer,1,APE26
ACE50,ACPE50a,Denyse Durand-Ruel,1,APE27
ACE50,ACPE50b,Philippe Durand-Ruel,1,APE28
ACE52,ACPE52a,Stefan T. Edlis Neeson,1,APE29
ACE52,ACPE52b,Gael Neeson,1,APE30
ACE61,ACPE61a,Jo Ann,1,APE31
ACE61,ACPE61b,"Julian Ganz, Jr.",1,APE32
ACE64,ACPE64a,Beatrice Gersh,1,APE33
ACE64,ACPE64b,Philip Gersh,1,APE34
ACE67,ACPE67a,Carol Goldberg,1,APE35
ACE67,ACPE67b,Arthur Goldberg,1,APE36
ACE73,ACPE73a,Marie Halff,1,APE37
ACE73,ACPE73b,Hugh Halff,1,APE38
ACE77,ACPE77a,Bette Harris,1,APE39
ACE77,ACPE77b,Neison Harris,1,APE40
ACE79,ACPE79a,Annick Herbert,1,APE41
ACE79,ACPE79b,Anton Herbert,1,APE42
ACE81,ACPE81a,William Hokin,1,APE43
ACE81,ACPE81b,Anne Hokin,1,APE44
ACE82,ACPE82a,Margaret Horowitz,1,APE45
ACE82,ACPE82b,Raymond Horowitz,1,APE46
ACE92,ACPE92a,George Kaufman,1,APE47
ACE92,ACPE92b,Linda Kaufman,1,APE48
ACE93,ACPE93a,Ann Kinney,1,APE49
ACE93,ACPE93b,Gilbert H. Kinney,1,APE50
ACE97,ACPE97a,Henry R. Kravis,1,APE51
ACE97,ACPE97b,Carolyne Roehm,1,APE52
ACE109,ACPE109a,Linda Macklowe,1,APE53
ACE109,ACPE109b,Harry Macklowe,1,APE54
ACE110,ACPE110a,Susan Manilow,1,APE55
ACE110,ACPE110b,Lewis Manilow,1,APE56
ACE120,ACPE120a,Paul Mellon,1,APE57
ACE120,ACPE120b,Rachel Mellon,1,APE58
ACE127,ACPE127a,Jane Meyerhoff,1,APE59
ACE127,ACPE127b,Robert Meyerhoff,1,APE60
ACE128,ACPE128a,Robert Mnuchin,1,APE61
ACE128,ACPE128b,Adrian Mnuchin,1,APE62
ACE135,ACPE135a,Eileen Norton,1,APE63
ACE135,ACPE135b,Peter Norton,1,APE64
ACE140,ACPE140a,Paul Oliver-Hoffmann,1,APE65
ACE140,ACPE140b,Camille Oliver-Hoffmann,1,APE66
ACE148,ACPE148a,Etsuko Price,1,APE67
ACE148,ACPE148b,Joe D. Price,1,APE68
ACE158,ACPE158a,Sir Robert Sainsbury,1,APE69
ACE158,ACPE158b,Lady Lisa Sainsbury,1,APE70
ACE161,ACPE161a,Denise Saul,1,APE71
ACE161,ACPE161b,Andrew M. Saul,1,APE72
ACE164,ACPE164a,Eugene Schwartz,1,APE73
ACE164,ACPE164b,Barbara Schwartz,1,APE74
ACE165,ACPE165a,Joel Seydoux,1,APE75
ACE165,ACPE165b,Anne Seydoux,1,APE76
ACE170,ACPE170a,Nathan Smooke,1,APE77
ACE170,ACPE170b,Marion Smooke,1,APE78
ACE171,ACPE171a,Victor Smorgon,1,APE79
ACE171,ACPE171b,Loti Smorgon,1,APE80
ACE174,ACPE174a,Emily Spiegel,1,APE81
ACE174,ACPE174b,Jerry Spiegel,1,APE82
ACE176,ACPE176a,Saul Steinberg,1,APE83
ACE176,ACPE176b,Gayfryd Steinberg,1,APE84
ACE186,ACPE186a,Baron Hans Heinrich Thyssen-Bornemisza,1,APE85
ACE186,ACPE186b,Baroness Carmen Thyssen-Bornemisza,1,APE86
ACE190,ACPE190a,Dorothy Vogel,1,APE87
ACE190,ACPE190b,Herbert Vogel,1,APE88
ACE198,ACPE198a,Virginia Wright,1,APE89
ACE198,ACPE198b,Bagley Wright,1,APE90
ACE202,ACPE202a,Bernard Gerald Cantor,1,APE91
ACE202,ACPE202b,Iris Cantor,1,APE92
ACE203,ACPE203a,Marshall S. Cogan,1,APE93
ACE203,ACPE203b,Maureen Cogan,1,APE94
ACE204,ACPE204a,Hélène David-Weill,1,APE95
ACE204,ACPE204b,Michel Alexandre David-Weill,1,APE96
ACE218,ACPE218a,Victoria Newhouse,1,APE97
ACE218,ACPE218b,"Samuel I. Newhouse, Jr.",1,APE98
ACE222,ACPE222a,Marianne Schwartz,1,APE99
ACE222,ACPE222b,Alan Schwartz,1,APE100
ACE225,ACPE225a,Stuart Spence,1,APE101
ACE225,ACPE225b,Judy Spence,1,APE102
ACE233,ACPE233a,Hartmut Ackermeier,1,APE103
ACE233,ACPE233b,Silvia Ackermeier,1,APE104
ACE238,ACPE238a,Nelson Blitz Jr.,1,APE105
ACE238,ACPE238b,Catherine Woodard,1,APE106
ACE239,ACPE239a,Janet de Botton,1,APE107
ACE239,ACPE239b,Gilbert de Botton,1,APE108
ACE240,ACPE240a,Gérard Boulois,1,APE109
ACE240,ACPE240b,Anne-Marie Boulois,1,APE110
ACE241,ACPE241a,Edward Carter,1,APE111
ACE241,ACPE241b,Hannah Carter,1,APE112
ACE244,ACPE244a,Marvin Fishman,1,APE113
ACE244,ACPE244b,Janet Fishman,1,APE114
ACE245,ACPE245a,Marie-Françoise Fuchs,1,APE115
ACE245,ACPE245b,Gilles Fuchs,1,APE116
ACE247,ACPE247a,Jacques Hachuel,1,APE117
ACE247,ACPE247b,Marta Hachuel,1,APE118
ACE249,ACPE249a,Jean Christophe Julian,1,APE119
ACE249,ACPE249b,Nicole Julian,1,APE120
ACE252,ACPE252a,Richard Lane,1,APE121
ACE252,ACPE252b,Barbara Lane,1,APE122
ACE256,ACPE256a,Jan Mayer,1,APE123
ACE256,ACPE256b,Frederick Mayer,1,APE124
ACE262,ACPE262a,Betty Rudman,1,APE125
ACE262,ACPE262b,Isaac Rudman,1,APE126
ACE270,ACPE270a,Thurston Twigg-Smith,1,APE127
ACE270,ACPE270b,Laila Twigg-Smith,1,APE128
ACE271,ACPE271a,Carl Vogel,1,APE129
ACE271,ACPE271b,Carin Vogel,1,APE130
ACE273,ACPE273a,John Weber,1,APE131
ACE273,ACPE273b,Charlotte Colket Weber,1,APE132
ACE274,ACPE274a,Leon Levy White,1,APE133
ACE274,ACPE274b,Shelby White,1,APE134
ACE277,ACPE277a,Frits Becht,1,APE135
ACE277,ACPE277b,Agnes Becht,1,APE136
ACE278,ACPE278a,Marchesa Marida Berlingieri,1,APE137
ACE278,ACPE278b,Marchese Annibale Berlingieri,1,APE138
ACE281,ACPE281a,Miguel Angel Capriles,1,APE139
ACE281,ACPE281b,Magaly Capriles,1,APE140
ACE286,ACPE286a,Doris Fisher,1,APE141
ACE286,ACPE286b,Donald Fisher,1,APE142
ACE287,ACPE287a,Franz Josef van der Grinten,1,APE143
ACE287,ACPE287b,Hans van der Grinten,1,APE144
ACE290,ACPE290a,Rolf Hoffman,1,APE145
ACE290,ACPE290b,Erika Hoffmann,1,APE146
ACE291,ACPE291a,David Mirvish,1,APE147
