pmdb_person_id,an_person_id
PPE2,nomatch
PPE1,nomatch
PPE3,nomatch
PPE4,nomatch
PPE5,nomatch
PPE6,nomatch
PPE7,nomatch
PPE8,nomatch
PPE9,nomatch
PPE10,nomatch
PPE11,nomatch
PPE12,nomatch
PPE13,nomatch
PPE14,nomatch
PPE15,nomatch
PPE16,nomatch
PPE17,nomatch
PPE18,nomatch
PPE19,nomatch
PPE20,APE747
PPE21,nomatch
PPE22,nomatch
PPE23,nomatch
PPE24,APE1117
PPE25,nomatch
PPE26,APE808
PPE27,nomatch
PPE28,nomatch
PPE29,nomatch
PPE30,nomatch
PPE31,nomatch
PPE32,APE585
PPE33,nomatch
PPE34,nomatch
PPE35,nomatch
PPE36,nomatch
PPE37,nomatch
PPE38,APE1093
PPE39,nomatch
PPE40,nomatch
PPE41,nomatch
PPE42,APE922
PPE43,nomatch
PPE44,nomatch
PPE45,nomatch
PPE46,nomatch
PPE47,nomatch
PPE48,nomatch
PPE49,nomatch
PPE50,nomatch
PPE51,APE937
PPE52,APE1123
PPE53,APE931
PPE54,nomatch
PPE55,nomatch
PPE56,nomatch
PPE57,nomatch
PPE58,nomatch
PPE59,nomatch
PPE60,nomatch
PPE61,nomatch
PPE62,nomatch
PPE63,nomatch
PPE64,nomatch
PPE65,nomatch
PPE66,nomatch
PPE67,nomatch
PPE68,nomatch
PPE69,nomatch
PPE70,nomatch
PPE71,nomatch
PPE72,nomatch
PPE73,nomatch
PPE74,nomatch
PPE75,nomatch
PPE76,nomatch
PPE77,nomatch
PPE78,APE1003
PPE79,nomatch
PPE80,nomatch
PPE81,nomatch
PPE82,nomatch
PPE83,APE991
PPE84,APE953
PPE85,APE1140
PPE86,nomatch
PPE87,APE1107
PPE88,nomatch
PPE89,APE1166
PPE90,nomatch
PPE91,nomatch
PPE92,nomatch
PPE93,nomatch
PPE94,nomatch
PPE95,nomatch
PPE96,nomatch
PPE97,nomatch
PPE98,nomatch
PPE99,APE1033
PPE100,APE1175
PPE101,APE1148
PPE102,nomatch
PPE103,nomatch
PPE104,nomatch
PPE105,APE1082
PPE106,APE744
PPE107,nomatch
PPE108,nomatch
PPE109,APE1056
PPE110,APE1079
PPE111,nomatch
PPE112,nomatch
PPE113,nomatch
PPE114,nomatch
PPE115,nomatch
PPE116,APE1187
PPE117,nomatch
PPE118,nomatch
PPE119,nomatch
PPE120,APE1144
PPE121,APE651
PPE122,APE1016
PPE123,nomatch
PPE124,nomatch
PPE125,nomatch
PPE126,APE769
PPE127,nomatch
PPE128,APE515
PPE129,nomatch
PPE130,nomatch
PPE131,nomatch
PPE132,nomatch
PPE133,nomatch
PPE134,APE869
PPE135,APE1068
PPE136,APE1149
PPE137,nomatch
PPE138,APE1138
PPE139,APE1146
PPE140,nomatch
PPE141,APE1197
PPE142,APE929
PPE143,APE933
PPE144,APE835
PPE145,APE210
PPE146,nomatch
PPE147,nomatch
PPE148,nomatch
PPE149,nomatch
PPE150,nomatch
PPE151,nomatch
PPE152,nomatch
PPE153,nomatch
PPE154,nomatch
PPE155,nomatch
PPE156,nomatch
PPE157,nomatch
PPE158,nomatch
PPE159,nomatch
PPE160,nomatch
PPE161,nomatch
PPE162,nomatch
PPE163,nomatch
PPE164,nomatch
PPE165,nomatch
PPE166,nomatch
PPE167,nomatch
PPE168,nomatch
PPE169,nomatch
PPE170,nomatch
PPE171,nomatch
PPE172,nomatch
PPE173,nomatch
PPE174,nomatch
PPE175,nomatch
PPE176,nomatch
PPE177,APE42
PPE178,nomatch
PPE179,APE1080
PPE180,nomatch
PPE181,nomatch
PPE182,nomatch
PPE183,nomatch
PPE184,nomatch
PPE185,nomatch
PPE186,nomatch
PPE187,nomatch
PPE188,nomatch
PPE189,nomatch
PPE190,nomatch
PPE191,nomatch
PPE192,nomatch
PPE193,nomatch
PPE194,nomatch
PPE195,nomatch
PPE196,nomatch
PPE197,APE194
PPE198,nomatch
PPE199,nomatch
PPE200,nomatch
PPE201,nomatch
PPE202,nomatch
PPE203,nomatch
PPE204,nomatch
PPE205,nomatch
PPE206,nomatch
PPE207,nomatch
PPE208,nomatch
PPE209,APE262
PPE210,nomatch
PPE211,nomatch
PPE212,APE505
PPE213,APE416
PPE214,nomatch
PPE215,nomatch
PPE216,nomatch
PPE217,nomatch
PPE218,nomatch
PPE219,nomatch
PPE220,nomatch
PPE221,nomatch
PPE222,APE575
PPE223,nomatch
PPE224,nomatch
PPE225,APE1102
PPE226,nomatch
PPE227,nomatch
PPE228,nomatch
PPE229,APE533
PPE230,nomatch
PPE231,nomatch
PPE232,nomatch
PPE233,nomatch
PPE234,nomatch
PPE235,nomatch
PPE236,nomatch
PPE237,nomatch
PPE238,nomatch
PPE239,nomatch
PPE240,nomatch
PPE241,nomatch
PPE242,nomatch
PPE243,nomatch
PPE244,nomatch
PPE245,nomatch
PPE246,nomatch
PPE247,nomatch
PPE248,APE513
PPE249,nomatch
PPE250,nomatch
PPE251,nomatch
PPE252,nomatch
PPE253,nomatch
PPE254,APE350
PPE255,APE349
PPE256,nomatch
PPE257,APE568
PPE258,APE569
PPE259,nomatch
PPE260,nomatch
PPE261,nomatch
PPE262,nomatch
PPE263,nomatch
PPE264,nomatch
PPE265,nomatch
PPE266,nomatch
PPE267,nomatch
PPE268,nomatch
PPE269,nomatch
PPE270,APE624
PPE271,APE625
PPE272,nomatch
PPE273,nomatch
PPE274,nomatch
PPE275,nomatch
PPE276,nomatch
PPE277,nomatch
PPE278,APE1114
PPE279,nomatch
PPE280,APE485
PPE281,APE484
PPE282,nomatch
PPE283,APE242
PPE284,APE241
PPE285,APE1176
PPE286,nomatch
PPE287,nomatch
PPE288,nomatch
PPE289,nomatch
PPE290,nomatch
PPE291,APE682
PPE292,APE683
PPE293,nomatch
PPE294,nomatch
PPE295,nomatch
PPE296,nomatch
PPE297,nomatch
PPE298,nomatch
PPE299,nomatch
PPE300,nomatch
PPE301,nomatch
PPE302,nomatch
PPE303,nomatch
PPE304,nomatch
PPE305,nomatch
PPE306,nomatch
PPE307,APE757
PPE308,nomatch
PPE309,APE687
PPE310,nomatch
PPE311,APE531
PPE312,APE530
PPE313,APE736
PPE314,nomatch
PPE315,nomatch
PPE316,nomatch
PPE317,nomatch
PPE318,nomatch
PPE319,APE495
PPE320,APE494
PPE321,nomatch
PPE322,nomatch
PPE323,APE500
PPE324,APE501
PPE325,nomatch
PPE326,nomatch
PPE327,nomatch
PPE328,nomatch
PPE329,APE420
PPE330,APE419
PPE331,nomatch
PPE332,nomatch
PPE333,nomatch
PPE334,nomatch
PPE335,nomatch
PPE336,nomatch
PPE337,nomatch
PPE338,nomatch
PPE339,nomatch
PPE340,nomatch
PPE341,APE158
PPE342,APE157
PPE343,nomatch
PPE344,nomatch
PPE345,nomatch
PPE346,nomatch
PPE347,APE846
PPE348,nomatch
PPE349,APE430
PPE350,APE429
PPE351,nomatch
PPE352,nomatch
PPE353,nomatch
PPE354,nomatch
PPE355,APE589
PPE356,APE588
PPE357,nomatch
PPE358,nomatch
PPE359,nomatch
PPE360,nomatch
PPE361,nomatch
PPE362,nomatch
PPE363,nomatch
PPE364,nomatch
PPE365,nomatch
PPE366,nomatch
PPE367,nomatch
PPE368,nomatch
PPE369,nomatch
PPE370,nomatch
PPE371,nomatch
PPE372,nomatch
PPE373,nomatch
PPE374,nomatch
PPE375,nomatch
PPE376,nomatch
PPE377,nomatch
PPE378,nomatch
PPE379,nomatch
PPE380,nomatch
PPE381,nomatch
PPE382,APE174
PPE383,APE173
PPE384,nomatch
PPE385,nomatch
PPE386,nomatch
PPE387,nomatch
PPE388,nomatch
PPE389,nomatch
PPE390,nomatch
PPE391,nomatch
PPE393,nomatch
PPE394,nomatch
PPE395,nomatch
PPE396,nomatch
PPE397,nomatch
PPE398,nomatch
PPE399,nomatch
PPE400,nomatch
PPE401,nomatch
PPE402,nomatch
PPE403,nomatch
PPE404,nomatch
PPE405,nomatch
PPE406,nomatch
PPE407,nomatch
PPE408,nomatch
PPE409,nomatch
PPE410,APE346
PPE411,APE345
PPE412,APE786
PPE413,nomatch
PPE414,nomatch
PPE415,nomatch
PPE416,nomatch
PPE417,nomatch
PPE418,nomatch
PPE419,nomatch
PPE420,nomatch
PPE421,nomatch
PPE422,nomatch
PPE423,nomatch
PPE424,nomatch
PPE425,nomatch
PPE426,nomatch
PPE427,nomatch
PPE428,nomatch
PPE429,nomatch
PPE430,APE674
PPE431,APE675
PPE432,nomatch
PPE433,nomatch
PPE434,nomatch
PPE435,nomatch
PPE436,APE20
PPE437,APE19
PPE438,nomatch
PPE439,nomatch
PPE440,nomatch
PPE441,nomatch
PPE442,nomatch
PPE443,nomatch
PPE444,APE1170
PPE445,nomatch
PPE446,nomatch
PPE447,nomatch
PPE448,nomatch
PPE449,nomatch
PPE450,APE646
PPE451,APE729
PPE452,nomatch
PPE453,APE995
PPE454,nomatch
PPE455,APE146
PPE456,APE187
PPE457,APE188
PPE458,nomatch
PPE459,APE1066
PPE460,nomatch
PPE461,nomatch
PPE462,nomatch
PPE463,nomatch
PPE464,nomatch
PPE465,APE526
PPE466,nomatch
PPE467,nomatch
PPE468,nomatch
PPE469,nomatch
PPE470,nomatch
PPE471,nomatch
PPE472,nomatch
PPE473,nomatch
PPE474,nomatch
PPE475,nomatch
PPE476,nomatch
PPE477,nomatch
PPE478,nomatch
PPE479,nomatch
PPE480,APE407
PPE481,nomatch
PPE482,APE448
PPE483,APE1057
PPE484,nomatch
PPE485,nomatch
PPE486,nomatch
PPE487,nomatch
PPE488,nomatch
PPE489,nomatch
PPE490,nomatch
PPE491,nomatch
PPE492,nomatch
PPE493,nomatch
PPE494,nomatch
PPE495,APE524
PPE496,nomatch
PPE497,APE1169
PPE498,nomatch
PPE499,nomatch
PPE500,APE1044
