muci1,muci2,museum1,museum2,src,b_same
muci_6,muci_5,Stedelijk Museum,Van Gogh Museum,geo,0
muci_11,muci_9,Museu Nacional d'Art de Catalunya (MNAC),MNAC,geo,1
muci_16,muci_15,UCCA Center for Contemporary Art,Ullens Center for Contemporary Art,"geo,stringdist",1
muci_18,muci_17,Centro Cultural Banco Brasil,Centro Cultural Banco do Brasil,"geo,stringdist",1
muci_25,muci_24,Guggenheim Museum Bilbao,Guggenheim,geo,1
muci_27,muci_26,"Museum of Fine Arts (MFA), Boston",Museum of Fine Arts,"geo,stringdist",1
muci_28,muci_26,Museum of Fine Arts (MFA Boston),Museum of Fine Arts,"geo,stringdist",1
muci_29,muci_26,Museum of Fine Arts Boston,Museum of Fine Arts,"geo,stringdist",1
muci_28,muci_27,Museum of Fine Arts (MFA Boston),"Museum of Fine Arts (MFA), Boston","geo,stringdist",1
muci_29,muci_27,Museum of Fine Arts Boston,"Museum of Fine Arts (MFA), Boston","geo,stringdist",1
muci_29,muci_28,Museum of Fine Arts Boston,Museum of Fine Arts (MFA Boston),"geo,stringdist",1
muci_33,muci_31,Gallery of Modern Art,Gallery of Modern Art (GOMA),"geo,stringdist",1
muci_34,muci_32,Queensland Art Gallery,Queensland Art Gallery (QAG),"geo,stringdist",1
muci_36,muci_35,Musées Royaux des Beaux-Arts de Belgique,Musées Royaux des Beaux-Arts,"geo,stringdist",1
muci_51,muci_50,National Galleries Scotland: National,Scottish National Gallery,geo,1
muci_53,muci_52,Dali Theatre-Museum,Teatre-Museu Dalí,geo,1
muci_57,muci_54,Gallerie degli Uffizi,Galleria degli Uffizi,"geo,stringdist",1
muci_56,muci_55,Galleria dell’Accademia di Firenze,Galleria dell'Accademia di Firenze,"geo,stringdist",1
muci_58,muci_55,Galleria dell'Accademia,Galleria dell'Accademia di Firenze,"geo,stringdist",1
muci_58,muci_56,Galleria dell'Accademia,Galleria dell’Accademia di Firenze,"geo,stringdist",1
muci_63,muci_62,Fondation Monet,Fondation Claude Monet,"geo,stringdist",1
muci_65,muci_64,Kelvingrove Art Gallery & Museum,Kelvingrove Art Gallery and Museum,"geo,stringdist",1
muci_75,muci_74,"Museum of Fine Arts, Houston",Museum of Fine Arts,"geo,stringdist",1
muci_80,muci_79,Israel Museume,Israel Museum,"geo,stringdist",1
muci_82,muci_81,21st century Museum of Contemporary Art,21st Century Museum of Contemporary Art,geo,1
muci_85,muci_84,National Museum,National Museum in Krakow,"geo,stringdist",1
muci_87,muci_86,Wawel Royal Castle,Royal Wawel Castle,"geo,stringdist",1
muci_92,muci_91,"World Museum, Liverpool",World Museum,geo,1
muci_99,muci_95,National Portrait Gallery,National Gallery,"geo,stringdist",0
muci_104,muci_95,"National Portrait Gallery, London",National Gallery,geo,0
muci_103,muci_96,Victoria and Albert Museum,Victoria and Albert,"geo,stringdist",1
muci_104,muci_99,"National Portrait Gallery, London",National Portrait Gallery,"geo,stringdist",1
muci_111,muci_106,J. Paul Getty Museum (Getty Center),Getty Center,geo,1
muci_109,muci_107,Los Angeles County Museum of Art,Lacma,geo,1
muci_110,muci_107,Los Angeles County Museum of Art (Lacma),Lacma,geo,1
