founder_id,founder_person_id,founder_name,founder_string_pmdb
FID210,FID210a,Jawad Adra,"Jawad Adra, Fida Jdeed and Badr El-Hage "
FID210,FID210b,Fida Jdeed,"Jawad Adra, Fida Jdeed and Badr El-Hage "
FID210,FID210c,Badr El-Hage,"Jawad Adra, Fida Jdeed and Badr El-Hage "
FID101,FID101a,David Neuman,David Neuman and Robert Weil
FID101,FID101b,Robert Weil,David Neuman and Robert Weil
FID146,FID146a,Gordon Elliott,Gordon Elliott and Michael Eyes
FID146,FID146b,Michael Eyes,Gordon Elliott and Michael Eyes
FID186,FID186a,David Su,David Su and Zihao Che
FID186,FID186b,Zihao Che,David Su and Zihao Che
FID270,FID270a,Ralph E. Ogden,Ralph E. Ogden and H. Peter Stern
FID270,FID270b,H. Peter Stern,Ralph E. Ogden and H. Peter Stern
FID414,FID414a,Gerard Meulensteen,Gerard Meulensteen and Vincent Polakovič
FID414,FID414b,Vincent Polakovič,Gerard Meulensteen and Vincent Polakovič
FID444,FID444a,George Michael,George Michael and Kenny Goss
FID444,FID444b,Kenny Goss,George Michael and Kenny Goss
FID452,FID452a,Dirk Krämer,Dirk Krämer and Klaus Maas
FID452,FID452b,Klaus Maas,Dirk Krämer and Klaus Maas
FID516,FID516a,Manuel Rios,Manuel and Miguel Rios
FID516,FID516b,Miguel Rios,Manuel and Miguel Rios
FID10,FID10a,Dakis Joannou,Dakis Joannou
FID102,FID102a,Achim Freyer,Achim Freyer
FID105,FID105a,Philippe Méaille,Philippe Méaille
FID11,FID11a,Paddy McKillen,Paddy McKillen
FID112,FID112a,Qiao Zhibing,Qiao Zhibing
FID118,FID118a,Alexander V. Petala,Alexander V. Petala
FID120,FID120a,Charles Saatchi,Charles Saatchi
FID121,FID121a,Hans Suter,Hans Suter
FID122,FID122a,Dieter Bogner,Dieter Bogner
FID124,FID124a,Baoquan Zhang,Baoquan Zhang
FID126,FID126a,Juan March Ordinas,Juan March Ordinas
FID129,FID129a,Frank Hense,Frank Hense
FID131,FID131a,Hasso Plattner,Hasso Plattner
FID132,FID132a,Arthur de Ganay,Arthur de Ganay
FID134,FID134a,Ignaz Walter,Ignaz Walter
FID136,FID136a,Antonio Dalle Nogare,Antonio Dalle Nogare
FID137,FID137a,Manfed Wandel,Manfed Wandel
FID138,FID138a,Jean-Claude Volot,Jean-Claude Volot
FID139,FID139a,Walter Vanhaerents,Walter Vanhaerents
FID140,FID140a,Aslan Chekhoyev,Aslan Chekhoyev
FID142,FID142a,Alexander Glezer,Alexander Glezer
FID143,FID143a,Antonio Pérez,Antonio Pérez
FID147,FID147a,Soichiro Fukutake,Soichiro Fukutake
FID15,FID15a,Masao Hoki,Masao Hoki
FID151,FID151a,Amadou Diaw,Amadou Diaw
FID152,FID152a,Sangho Park,Sangho Park
FID153,FID153a,Cheol-su Kim,Cheol-su Kim
FID154,FID154a,Jai-Kwan Kim,Jai-Kwan Kim
FID159,FID159a,Zacharias Portalakis,Zacharias Portalakis
FID16,FID16a,Hanxing Chen,Hanxing Chen
FID162,FID162a,Vehbi Koç,Vehbi Koç
FID165,FID165a,Eduardo Costantini,Eduardo Costantini
FID167,FID167a,Édouard Carmignac,Édouard Carmignac
FID173,FID173a,Carlos Slim Helú,Carlos Slim Helú
FID175,FID175a,Alain Servais,Alain Servais
FID177,FID177a,Christian Levett,Christian Levett
FID180,FID180a,Hans. D. Melchers,Hans. D. Melchers
FID188,FID188a,Jan van den Broek,Jan van den Broek
FID190,FID190a,David Walsh,David Walsh
FID193,FID193a,Maurizio Morra Greco,Maurizio Morra Greco
FID194,FID194a,Hans Georg Näder,Hans Georg Näder
FID197,FID197a,Oei Hong Djien,Oei Hong Djien
FID198,FID198a,Werner Jerke,Werner Jerke
FID199,FID199a,Joven Cuanang,Joven Cuanang
FID200,FID200a,Antonio Vila Casas,Antonio Vila Casas
FID205,FID205a,Axel Ciesielski,Axel Ciesielski
FID207,FID207a,Stefano Sciarretta,Stefano Sciarretta
FID211,FID211a,Marc Barbey,Marc Barbey
FID212,FID212a,Basel Dalloul,Basel Dalloul
FID214,FID214a,Lluís Bassat,Lluís Bassat
FID216,FID216a,Markus Hannebauer,Markus Hannebauer
FID217,FID217a,Didier Guillon,Didier Guillon
FID220,FID220a,Walther Moreira Salles,Walther Moreira Salles
FID222,FID222a,Sotiris Felios,Sotiris Felios
FID224,FID224a,Giuseppe Iannaccone,Giuseppe Iannaccone
